rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.232	0.23203125000000002	0.27703125000000006	103	114	112	110	81.41	112	112	112	112	81.7	0	0	0	0	0	0	0	19	19	0	0.04500000000000004	0	0	0	0.232	0	72	0	1	0	0	0	0.20500000000000002
0.437	0.43703125000000004	0.5420312500000001	141	155	149	150	86.77	149	149	149	149	86.74	0	0	5.06	0	0	0	0	54	54	0	0.10500000000000004	0	0	0	0.16	0	79.8	0	1	0	0	0	0.15499999999999997
0.592	0.59203125	0.62203125	160	163	161	162	88.1	161	161	161	161	88.07	0	0	1.44	0	0	0	0	63	63	0	0.030000000000000027	0	0	0	0.05	0	83.2	0	1	0	0	0	0.06499999999999995
0.657	0.65703125	0.9270312500000002	131	158	156	154	87.24	158	131	131	158	87.75	-1	-3.29	-0.23	0	-3.29	3.29	0	61	38	-23	0.27000000000000024	0	0	0	0.035	0	83.4	0	1	0	0	0	0.49
1.147	1.14703125	1.2220312499999983	174	183	178	178	89.79	178	178	178	178	89.73	0	0	5.33	0	0	0	0	76	76	0	0.0749999999999984	0	0	0	0.22	0	79.4	0	1	0	0	0	0.18499999999999983
1.332	1.3320312499999998	1.3770312499999988	125	139	136	134	84.83	136	136	136	136	85.15	0	0	-4.56	0	0	0	0	43	43	0	0.04499999999999904	0	0	0	0.11	0	75.4	0	1	0	0	0	0.2300000000000002
1.562	1.56203125	1.7420312499999961	149	187	178	174	89.38	149	183	149	183	90.27	1	3.55	1.67	3.55	0	3.55	0	54	79	25	0.17999999999999616	0	0	0	0.185	0	80.7	0	1	1	0	0.565	0.17999999999999616
2.307	2.30703125	2.3370312499999994	107	124	116	115	82.17	116	116	116	116	82.31	0	0	-7.88	0	0	0	0	23	23	0	0.02999999999999936	0	0	0	0.565	0	61.4	0	1	0	1	0	0.16999999999999993
2.477	2.47703125	2.6070312499999972	151	169	165	164	88.31	165	165	165	165	88.4	0	0	6.1	0	0	0	0	66	66	0	0.12999999999999723	0	0	0	0.14	0	82.9	0	1	0	0	0	0.31499999999999995
2.792	2.79203125	2.842031249999999	142	159	153	152	86.98	153	153	153	153	87.14	0	0	-1.26	0	0	0	0	57	57	0	0.049999999999998934	0	0	0	0.185	0	78.8	0	1	0	0	0	0.29000000000000004
3.082	3.08203125	3.2370312499999967	132	175	149	151	86.87	132	175	132	175	89.47	1	4.89	-2.5	4.89	0	4.89	0	39	74	34	0.1549999999999967	0	0	0	0.24	0	82.6	0	1	1	0	1	0.1549999999999967
4.237	4.23703125	4.5070312499999945	148	200	183	178	89.78	148	180	148	199	91.68	1	5.14	-2.88	5.14	0	5.14	0	53	77	36	0.26999999999999424	0	0	0	1	0	81.2	0	1	0	1	0	0.41999999999999993
4.657	4.65703125	4.727031249999999	146	173	159	158	87.73	159	159	159	159	87.8	0	0	-2.1	0	0	0	0	62	62	0	0.06999999999999851	0	0	0	0.15	0	78.6	0	1	0	0	0	0.17499999999999982
4.832	4.83203125	4.897031249999999	138	142	140	140	85.61	140	140	140	140	85.62	0	0	-2.14	0	0	0	0	46	46	0	0.06499999999999861	0	0	0	0.105	0	77.6	0	1	0	0	0	0.11500000000000021
4.947	4.94703125	5.012031249999999	156	163	160	160	87.9	160	160	160	160	87.89	0	0	2.34	0	0	0	0	63	63	0	0.06499999999999861	0	0	0	0.05	0	80.5	0	1	0	0	0	0.10500000000000043
5.052	5.052031250000001	5.1520312499999985	155	168	167	166	88.51	167	167	167	167	88.66	0	0	0.8	0	0	0	0	68	68	0	0.09999999999999787	0	0	0	0.04	0	78.8	0	1	0	0	0	0.22999999999999954
5.282	5.28203125	5.387031249999998	144	167	156	156	87.49	156	156	156	156	87.53	0	0	-1.07	0	0	0	0	60	60	0	0.10499999999999776	0	0	0	0.13	0	74.7	0	1	0	0	0	0.20500000000000007
5.487	5.48703125	5.5220312499999995	123	129	124	125	83.7	124	124	124	124	83.49	0	0	-3.93	0	0	0	0	32	32	0	0.034999999999999254	0	0	0	0.1	0	74	0	1	0	0	0	0.08499999999999996
5.572	5.57203125	5.682031249999998	120	140	138	136	85.15	138	138	138	138	85.42	0	0	1.97	0	0	0	0	45	45	0	0.10999999999999766	0	0	0	0.05	0	76.8	0	1	0	0	0	0.26500000000000057
5.837	5.837031250000001	5.86703125	141	157	148	148	86.57	148	148	148	148	86.58	0	0	1.27	0	0	0	0	53	53	0	0.02999999999999936	0	0	0	0.155	0	71.2	0	1	0	0	0	0.08499999999999996
5.922	5.922031250000001	5.997031249999999	150	155	153	153	87.16	153	153	153	153	87.17	0	0	0.66	0	0	0	0	57	57	0	0.0749999999999984	0	0	0	0.055	0	78.3	0	1	0	0	0	0.13999999999999968
6.062	6.06203125	6.127031249999999	117	143	137	134	84.84	137	137	137	137	85.22	0	0	-1.87	0	0	0	0	44	44	0	0.06499999999999861	0	0	0	0.065	0	74	0	1	0	0	0	0.22999999999999954
6.292	6.29203125	6.327031249999999	92	96	94	94	78.72	94	94	94	94	78.78	0	0	-6.39	0	0	0	0	0	0	0	0.034999999999999254	0	0	0	0.165	0	60.9	0	1	0	0	0	0.06500000000000039
6.357	6.35703125	6.427031249999999	92	96	93	94	78.7	93	93	93	93	78.57	0	0	-0.09	0	0	0	0	0	0	0	0.06999999999999851	0	0	0	0.03	0	62.2	0	1	1	0	0.805	0.06999999999999851
7.232	7.23203125	7.297031249999999	111	121	120	120	82.91	120	120	120	120	83	0	0	4.53	0	0	0	0	28	28	0	0.06499999999999861	0	0	0	0.805	0	73.9	0	1	0	1	0	0.20000000000000018
7.432	7.4320312500000005	7.5270312499999985	113	136	127	128	84.08	127	127	127	127	83.95	0	0	1.07	0	0	0	0	34	34	0	0.09499999999999797	0	0	0	0.135	0	73.8	0	1	0	0	0	0.16500000000000004
7.597	7.597031250000001	7.697031249999998	151	162	155	157	87.54	155	155	155	155	87.42	0	0	3.56	0	0	0	0	59	59	0	0.09999999999999787	0	0	0	0.07	0	73.6	0	1	1	0	0.57	0.09999999999999787
8.267	8.26703125	8.317031250000008	114	120	119	118	82.67	119	119	119	119	82.81	0	0	-4.51	0	0	0	0	27	27	0	0.050000000000007816	0	0	0	0.57	0	72.8	0	1	0	1	0	0.2599999999999998
8.527	8.52703125	8.667031250000022	138	164	157	154	87.29	157	157	157	157	87.57	0	0	4.83	0	0	0	0	60	60	0	0.14000000000002188	0	0	0	0.21	0	81	0	1	0	0	0	0.3149999999999995
8.842	8.84203125	8.887031250000007	161	166	166	165	88.46	166	166	166	166	88.51	0	0	0.98	0	0	0	0	67	67	0	0.045000000000007034	0	0	0	0.175	0	76.6	0	1	0	0	0	0.14500000000000135
8.987	8.987031250000001	9.132031250000024	192	215	202	200	91.8	202	202	202	202	91.94	0	0	3.44	0	0	0	0	91	91	0	0.14500000000002267	0	0	0	0.1	0	75.1	0	1	1	0	0.47	0.14500000000002267
9.602	9.602031250000001	9.642031250000008	112	117	116	116	82.36	116	116	116	116	82.38	0	0	-9.51	0	0	0	0	23	23	0	0.04000000000000625	0	0	0	0.47	0	72.1	0	1	0	1	0	0.1949999999999985
9.797	9.79703125	9.892031250000015	126	133	131	130	84.4	131	131	131	131	84.43	0	0	2.14	0	0	0	0	38	38	0	0.09500000000001485	0	0	0	0.155	0	80.5	0	1	0	0	0	0.25
10.047	10.04703125	10.137031250000014	107	128	120	118	82.62	120	120	120	120	82.91	0	0	-1.49	0	0	0	0	28	28	0	0.09000000000001407	0	0	0	0.155	0	75.1	0	1	0	0	0	0.2550000000000008
10.302	10.30203125	10.377031250000012	122	129	128	127	83.91	128	128	128	128	84.1	0	0	1.22	0	0	0	0	35	35	0	0.07500000000001172	0	0	0	0.165	0	77.4	0	1	0	0	0	0.10500000000000043
10.407	10.407031250000001	10.437031250000006	116	125	118	120	82.92	118	118	118	118	82.68	0	0	-1.32	0	0	0	0	25	25	0	0.03000000000000469	0	0	0	0.03	0	69.7	0	1	0	0	0	0.05999999999999872
10.467	10.46703125	10.497031250000004	96	104	101	100	79.81	101	101	101	101	80	0	0	-2.59	0	0	0	0	7	7	0	0.03000000000000469	0	0	0	0.03	0	62.7	0	1	0	0	0	0.13000000000000078
10.597	10.59703125	10.762031250000026	120	166	156	150	86.85	120	150	120	165	88.44	1	5.52	3.02	5.52	0	5.52	0	28	55	38	0.1650000000000258	0	0	0	0.1	0	71.7	0	1	1	0	0.63	0.1650000000000258
11.392	11.39203125	11.432031250000007	140	144	143	143	85.95	143	143	143	143	85.95	0	0	-0.8	0	0	0	0	49	49	0	0.04000000000000625	0	0	0	0.63	0	79.6	0	1	0	1	0	0.08000000000000007
11.472	11.47203125	11.507031250000006	125	136	131	131	84.46	131	131	131	131	84.43	0	0	-1.48	0	0	0	0	38	38	0	0.03500000000000547	0	0	0	0.04	0	73.8	0	1	0	0	0	0.11500000000000021
11.587	11.58703125	11.64703125000001	159	176	168	168	88.75	168	168	168	168	88.73	0	0	4.33	0	0	0	0	69	69	0	0.06000000000000938	0	0	0	0.08	0	77.6	0	1	0	0	0	0.08499999999999908
11.672	11.67203125	11.827031250000024	184	220	210	208	92.47	184	218	184	218	93.29	1	2.97	1.61	2.97	0	2.97	0	80	100	20	0.15500000000002423	0	0	0	0.025	0	76.9	0	1	1	0	0.64	0.15500000000002423
12.467	12.46703125	12.59203125000002	190	241	231	225	93.83	231	231	231	231	94.23	0	0	1.01	0	0	0	0	100	100	0	0.12500000000001954	0	0	0	0.64	0	84.6	0	1	0	1	0	0.28500000000000014
12.752	12.75203125	12.787031250000005	169	182	179	178	89.74	179	179	179	179	89.81	0	0	-4.41	0	0	0	0	76	76	0	0.03500000000000547	0	0	0	0.16	0	78.3	0	1	0	0	0	0.1349999999999998
12.887	12.88703125	12.902031250000002	180	182	181	181	90.06	181	181	181	181	90.07	0	0	0.27	0	0	0	0	78	78	0	0.015000000000002345	0	0	0	0.1	0	77.9	0	1	0	0	0	0.040000000000000924
12.927	12.92703125	12.997031250000012	174	195	192	191	90.93	192	192	192	192	91.05	0	0	1.06	0	0	0	0	85	85	0	0.07000000000001094	0	0	0	0.025	0	77.6	0	1	0	0	0	0.20500000000000007
13.132	13.13203125	13.247031250000019	196	213	208	208	92.42	208	208	208	208	92.48	0	0	1.46	0	0	0	0	95	95	0	0.11500000000001798	0	0	0	0.135	0	74.2	0	1	0	0	0	0.41999999999999993
13.552	13.55203125	13.602031250000008	142	152	151	150	86.77	151	151	151	151	86.93	0	0	-5.47	0	0	0	0	56	56	0	0.050000000000007816	0	0	0	0.305	0	77	0	1	0	0	0	0.16000000000000014
13.712	13.71203125	13.857031250000023	154	171	158	159	87.86	158	158	158	158	87.69	0	0	0.83	0	0	0	0	61	61	0	0.14500000000002267	0	0	0	0.11	0	80.4	0	1	0	0	0	0.2400000000000002
13.952	13.952031250000001	14.002031250000009	211	214	212	212	92.81	212	212	212	212	92.79	0	0	5.15	0	0	0	0	97	97	0	0.050000000000007816	0	0	0	0.095	0	80.1	0	1	0	0	0	0.07499999999999929
14.027	14.02703125	14.052031250000004	201	206	205	205	92.18	205	205	205	205	92.2	0	0	-0.53	0	0	0	0	93	93	0	0.025000000000003908	0	0	0	0.025	0	76.1	0	1	0	0	0	0.14499999999999957
14.172	14.17203125	14.217031250000007	134	146	141	141	85.69	141	141	141	141	85.76	0	0	-6.39	0	0	0	0	47	47	0	0.045000000000007034	0	0	0	0.12	0	77.9	0	1	0	0	0	0.21499999999999986
14.387	14.38703125	14.45203125000001	153	160	157	157	87.54	157	157	157	157	87.57	0	0	1.9	0	0	0	0	60	60	0	0.06500000000001016	0	0	0	0.17	0	77.1	0	1	0	0	0	0.20000000000000107
14.587	14.58703125	14.677031250000015	116	131	123	123	83.42	123	123	123	123	83.36	0	0	-4.18	0	0	0	0	31	31	0	0.09000000000001407	0	0	0	0.135	0	74.2	0	1	0	0	0	0.1999999999999993
14.787	14.78703125	14.827031250000006	112	117	117	115	82.25	117	117	117	117	82.45	0	0	-0.86	0	0	0	0	24	24	0	0.04000000000000625	0	0	0	0.11	0	70.4	0	1	0	0	0	0.11000000000000121
14.897	14.897031250000001	14.932031250000007	98	108	103	103	80.38	103	103	103	103	80.37	0	0	-2.07	0	0	0	0	9	9	0	0.03500000000000547	0	0	0	0.07	0	69.7	0	1	0	0	0	0.08000000000000007
14.977	14.977031250000001	15.02703125000001	98	100	99	99	79.69	99	99	99	99	79.7	0	0	-0.54	0	0	0	0	4	4	0	0.050000000000007816	0	0	0	0.045	0	65.2	0	1	1	0	0.502	0.050000000000007816
