rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur
0.222	0.22156250000000033	0.2765625000000004	138	141	140	140	85.58	140	140	140	140	85.58	0	0	0	0	0	0	0	56	56	0	0.05500000000000005	0	0	0	0.2216	0	77.7	0	1	0	0	0
0.472	0.47156250000000033	0.5165625000000004	142	155	150	150	86.85	150	150	150	150	86.85	0	0	1.3	0	0	0	0	63	63	0	0.04500000000000004	0	0	0	0.195	0	80.7	0	1	0	0	0
0.737	0.7365625000000002	0.8465625000000003	137	144	140	140	85.66	140	140	140	140	85.61	0	0	-1.14	0	0	0	0	56	56	0	0.1100000000000001	0	0	0	0.22	0	82.5	0	1	0	0	0
0.997	0.9965625000000002	1.0715624999999986	132	137	134	134	84.91	134	134	134	134	84.85	0	0	-0.7	0	0	0	0	51	51	0	0.0749999999999984	0	0	0	0.15	0	79.2	0	1	0	0	0
1.092	1.0915625000000002	1.1665624999999986	119	134	132	130	84.4	132	132	132	132	84.63	0	0	-0.17	0	0	0	0	49	49	0	0.0749999999999984	0	0	0	0.02	0	77.1	0	1	0	0	0
1.247	1.2465625000000002	1.2965624999999992	120	127	126	125	83.64	126	126	126	126	83.85	0	0	-0.68	0	0	0	0	44	44	0	0.049999999999998934	0	0	0	0.08	0	75.4	0	1	0	0	0
1.487	1.4865625000000002	1.5565624999999987	119	121	121	121	83.04	121	121	121	121	83.07	0	0	-0.66	0	0	0	0	40	40	0	0.06999999999999851	0	0	0	0.19	0	75.6	0	1	0	0	0
1.597	1.5965625	1.646562499999999	120	128	128	127	83.95	128	128	128	128	84.04	0	0	1.01	0	0	0	0	46	46	0	0.049999999999998934	0	0	0	0.04	0	77.7	0	1	0	0	0
1.667	1.6665625000000002	1.6915624999999996	115	117	117	117	82.49	117	117	117	117	82.56	0	0	-1.44	0	0	0	0	36	36	0	0.024999999999999467	0	0	0	0.02	0	70.8	0	1	0	0	0
1.817	1.8165625000000003	1.8565624999999994	113	124	122	121	83.08	122	122	122	122	83.31	0	0	0.86	0	0	0	0	40	40	0	0.03999999999999915	0	0	0	0.125	0	75.9	0	1	0	0	0
1.992	1.9915625000000001	2.1215624999999974	161	211	202	196	91.43	161	197	161	207	92.36	1	4.32	4.87	4.32	0	4.32	0	71	93	27	0.12999999999999723	0	0	0	0.135	0	77.3	0	1	1	0	0.56
2.682	2.6815625	2.731562499999999	116	119	118	118	82.59	118	118	118	118	82.65	0	0	-8.81	0	0	0	0	37	37	0	0.049999999999998934	0	0	0	0.56	0	72.9	0	1	0	1	0
2.827	2.8265625	2.921562499999998	115	122	122	121	83.06	122	122	122	122	83.2	0	0	0.6	0	0	0	0	40	40	0	0.09499999999999797	0	0	0	0.095	0	76.4	0	1	0	0	0
2.962	2.9615625000000003	3.0465624999999985	96	117	111	111	81.61	111	111	111	111	81.63	0	0	-1.54	0	0	0	0	30	30	0	0.08499999999999819	0	0	0	0.04	0	73.5	0	1	0	0	0
3.237	3.2365625000000002	3.296562499999999	110	118	116	116	82.31	116	116	116	116	82.39	0	0	0.86	0	0	0	0	35	35	0	0.05999999999999872	0	0	0	0.19	0	71.4	0	1	0	0	0
3.432	3.4315625	3.486562499999999	114	126	121	120	83.01	121	121	121	121	83.05	0	0	0.75	0	0	0	0	40	40	0	0.05499999999999883	0	0	0	0.135	0	73.5	0	1	0	0	0
3.507	3.5065625000000002	3.561562499999999	82	104	99	95	78.97	99	99	99	99	79.72	0	0	-3.3	0	0	0	0	18	18	0	0.05499999999999883	0	0	0	0.02	0	68.6	0	1	0	0	0
3.707	3.7065625000000004	3.8015624999999984	172	203	199	196	91.42	199	199	199	199	91.67	0	0	12.12	0	0	0	0	94	94	0	0.09499999999999797	0	0	0	0.145	0	82.3	0	1	0	0	0
3.962	3.9615625000000003	4.0015624999999995	104	114	111	110	81.42	111	111	111	111	81.58	0	0	-10.06	0	0	0	0	30	30	0	0.03999999999999915	0	0	0	0.16	0	69.6	0	1	0	0	0
4.127	4.1265625	4.181562499999999	89	91	89	90	77.94	89	89	89	89	77.9	0	0	-3.64	0	0	0	0	6	6	0	0.05499999999999883	0	0	0	0.125	0	62.5	0	1	1	0	0.747
